Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-13,13:30:40,0.72,0.67,-0.25,0.67,-0.49,0.24
2025-02-13,13:30:40,0.72,0.67,-0.25,1.40,-0.49,0.12
2025-02-13,13:30:41,0.72,0.67,-0.28,3.48,-0.55,0.61
2025-02-13,13:30:41,0.72,0.67,-0.25,2.26,-0.49,0.31
2025-02-13,13:30:42,0.72,0.67,-0.25,1.65,-0.49,0.31
2025-02-13,13:30:42,0.72,0.67,-0.26,1.04,-0.49,0.12
2025-02-13,13:30:43,0.72,0.67,-0.26,0.79,-0.49,0.06
2025-02-13,13:30:43,0.72,0.67,-0.26,0.85,-0.49,0.12
2025-02-13,13:30:44,0.72,0.67,-0.26,0.61,-0.55,0.18
2025-02-13,13:30:44,0.72,0.67,-0.26,1.22,-0.43,0.18
2025-02-13,13:30:45,0.72,0.67,-0.26,0.92,-0.49,0.18
2025-02-13,13:30:45,0.72,0.67,-0.26,1.28,-0.49,0.18
2025-02-13,13:30:46,0.72,0.67,-0.26,1.22,-0.55,0.24
2025-02-13,13:30:46,0.72,0.67,-0.26,0.85,-0.49,0.06
2025-02-13,13:30:47,0.72,0.67,-0.26,1.04,-0.43,0.12
2025-02-13,13:30:47,0.72,0.67,-0.26,1.04,-0.43,0.12
2025-02-13,13:30:48,0.72,0.67,-0.26,0.55,-0.55,0.18
2025-02-13,13:30:48,0.72,0.67,-0.26,1.40,-0.49,0.18
2025-02-13,13:30:49,0.72,0.67,-0.26,0.85,-0.49,0.12
2025-02-13,13:30:49,0.72,0.67,-0.26,0.98,-0.49,0.12
2025-02-13,13:30:50,0.72,0.67,-0.26,0.79,-0.49,0.18
2025-02-13,13:30:50,0.72,0.67,-0.26,1.22,-0.49,0.18
2025-02-13,13:30:51,0.72,0.67,-0.26,0.79,-0.49,0.12
2025-02-13,13:30:51,0.72,0.67,-0.26,0.37,-0.49,0.18
2025-02-13,13:30:52,0.72,0.67,-0.26,0.98,-0.43,0.12
2025-02-13,13:30:52,0.72,0.67,-0.26,-0.92,-0.49,0.18
2025-02-13,13:30:53,0.72,0.67,-0.26,1.46,-0.43,0.12
2025-02-13,13:30:53,0.72,0.67,-0.26,1.46,-0.49,0.12
2025-02-13,13:30:54,0.72,0.67,-0.26,0.55,-0.49,0.18
2025-02-13,13:30:54,0.72,0.67,-0.26,1.40,-0.49,0.24
2025-02-13,13:30:55,0.72,0.67,-0.26,1.10,-0.49,0.18
2025-02-13,13:30:55,0.72,0.67,-0.26,0.67,-0.49,0.12
2025-02-13,13:30:56,0.72,0.67,-0.26,1.22,-0.49,0.18
2025-02-13,13:30:56,0.72,0.67,-0.26,0.92,-0.49,0.12
2025-02-13,13:30:57,0.72,0.67,-0.26,0.98,-0.49,0.18
2025-02-13,13:30:57,0.72,0.67,-0.26,0.85,-0.49,0.18
2025-02-13,13:30:58,0.72,0.67,-0.26,0.98,-0.43,0.12
2025-02-13,13:30:58,0.72,0.67,-0.26,1.04,-0.49,0.18
2025-02-13,13:30:59,0.72,0.67,-0.26,0.92,-0.49,0.18
