Unnamed: 0,X1,age,gender,height,weight,steps,hear_rate,calories,distance,entropy_heart,entropy_setps,resting_heart,corr_heart_steps,norm_heart,intensity_karvonen,sd_norm_heart,steps_times_distance,device,activity,age_norm,height_norm,weight_norm,steps_std,heart_rate_std
1,1,20,1,168.0,65.4,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.2216117239699,6.11634856607516,59.0,1.0,19.5313023809524,0.138519875042215,1.0,0.0896921469387755,apple watch,Lying,0.05263157894736842,0.5208333333333334,0.31111111111111117,-0.053418044927676274,1.7124111472876135e-15
77,77,30,0,164.0,68.0,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.02643884482632,6.14974711950468,69.6,1.0,8.93130238095239,0.0741802523334916,8.84676632494443,0.0896921469387755,apple watch,Lying,0.3157894736842105,0.4375,0.3472222222222222,-0.053418044927676274,1.7124111472876135e-15
148,148,24,0,165.0,43.0,10.7714285714286,79.9166666666667,0.0628260869565217,0.0083268571428571,6.13503003833207,6.18982455888002,76.5,1.0,3.4166666666667,0.0285913528591356,2.68858660535383,0.0896921469387755,apple watch,Lying,0.15789473684210525,0.4583333333333333,0.0,-0.053418044927676274,0.16693670391081875
221,221,32,1,180.0,72.7,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.16992500144231,6.16992500144231,62.8571428571429,1.0,15.6741595238095,0.125250133181126,27.2151497967829,0.0896921469387755,apple watch,Lying,0.3684210526315789,0.7708333333333334,0.41250000000000003,-0.053418044927676274,1.7124111472876135e-15
293,293,19,0,172.0,72.5,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,5.94026879772836,6.10852445677817,78.25,1.0,0.281302380952383,0.0022916690912617,4.86058373214419,0.0896921469387755,apple watch,Lying,0.02631578947368421,0.6041666666666666,0.4097222222222222,-0.053418044927676274,1.7124111472876135e-15
362,362,23,1,181.0,95.2,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.25976119322122,6.25976119322122,56.3333333333333,1.0,22.197969047619,0.157805467163169,10.912425054739,0.0896921469387755,apple watch,Lying,0.13157894736842105,0.7916666666666666,0.7250000000000001,-0.053418044927676274,1.7124111472876135e-15
440,440,20,1,180.0,79.3,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.24792751344359,6.16898014502253,75.0,1.0,3.53130238095238,0.0282504190476191,5.67935903951286,0.0896921469387755,apple watch,Lying,0.05263157894736842,0.7708333333333334,0.5041666666666667,-0.053418044927676274,1.7124111472876135e-15
516,516,32,1,177.0,76.7,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.14214722366453,6.16992500144231,55.2857142857143,1.0,23.2455880952381,0.175155130965196,10.6392551171604,0.0896921469387755,apple watch,Lying,0.3684210526315789,0.7083333333333334,0.4680555555555556,-0.053418044927676274,1.7124111472876135e-15
588,588,23,1,178.0,77.3,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,5.94389276489377,6.20945336562895,55.0,1.0,23.5313023809524,0.16571339704896,7.71710574139788,0.0896921469387755,apple watch,Lying,0.13157894736842105,0.7291666666666666,0.47638888888888886,-0.053418044927676274,1.7124111472876135e-15
662,662,26,1,182.0,74.0,10.7714285714286,125.5,0.344532850241546,0.0083268571428571,6.385861524373,6.4093909361377,74.6484767857143,1.0,50.8515232142857,0.426065138045922,19.9793845215436,0.0896921469387755,apple watch,Lying,0.21052631578947367,0.8125,0.4305555555555556,-0.053418044927676274,5.659738487819383
747,747,22,1,185.0,79.4,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.2341201675802,6.25976119322122,40.6363636363636,1.0,37.8949387445887,0.240811280294903,21.5418154002702,0.0896921469387755,apple watch,Lying,0.10526315789473684,0.875,0.5055555555555556,-0.053418044927676274,1.7124111472876135e-15
825,825,53,0,143.0,49.2,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.2216117239699,6.24792751344359,66.8177967592593,1.0,11.7135056216931,0.116922020506429,16.2662664240095,0.0896921469387755,apple watch,Lying,0.9210526315789473,0.0,0.08611111111111115,-0.053418044927676274,1.7124111472876135e-15
901,901,35,0,160.0,75.9,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.20945336562895,6.20945336562895,66.0,1.0,12.5313023809524,0.10530506202481,18.0450932043782,0.0896921469387755,apple watch,Lying,0.4473684210526316,0.3541666666666667,0.45694444444444454,-0.053418044927676274,1.7124111472876135e-15
975,975,19,1,183.0,65.7,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.3037807481771,6.2784642924809,34.1538461538462,1.0,44.3774562271062,0.265978299194274,14.119554786336,0.0896921469387755,apple watch,Lying,0.02631578947368421,0.8333333333333334,0.3152777777777778,-0.053418044927676274,1.7124111472876135e-15
1054,1054,27,1,176.0,81.8,10.7714285714286,78.5313023809524,0.252,0.0083268571428571,6.2667865406949,6.2667865406949,55.9553571428571,1.0,22.5759452380952,0.164734241101483,11.1466881742465,0.0896921469387755,apple watch,Lying,0.23684210526315788,0.6875,0.5388888888888889,-0.053418044927676274,1.7124111472876135e-15
1131,1131,25,1,160.0,75.0,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.2667865406949,6.2667865406949,60.9712310672515,1.0,17.5600713137009,0.131017179770651,3.77867595313992,0.0896921469387755,apple watch,Lying,0.18421052631578946,0.3541666666666667,0.4444444444444444,-0.053418044927676274,1.7124111472876135e-15
1208,1208,23,0,177.8,85.0,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.20945336562895,6.18242633860192,78.4565921450315,1.0,0.0747102359208895,0.0006302352637971,8.03114680077313,0.0896921469387755,apple watch,Lying,0.13157894736842105,0.7250000000000002,0.5833333333333334,-0.053418044927676274,1.7124111472876135e-15
1282,1282,36,0,157.5,53.6,10.7714285714286,78.5313023809524,0.344532850241546,0.0083268571428571,6.00867999485291,6.1038848972456,78.8234467592592,1.0,-0.292144378306844,-0.002777656895051,0.223225635120618,0.0896921469387755,apple watch,Lying,0.47368421052631576,0.3020833333333333,0.14722222222222225,-0.053418044927676274,1.7124111472876135e-15
1354,1354,18,1,183.0,70.3,10.7714285714286,78.5313023809524,0.815666666666667,0.0083268571428571,6.22881869049588,6.17548535716255,58.1343333333333,1.0,20.396969047619,0.14177787876852,27.453153865035,0.0896921469387755,apple watch,Lying,0.0,0.8333333333333334,0.37916666666666665,-0.053418044927676274,1.7124111472876135e-15
